site,lat,long,year,month,ppt
BM,36.06,-118.39,1946,12,162.186996459961
BM,36.06,-118.39,1947,1,24.3519992828369
BM,36.06,-118.39,1947,2,53.0320014953613
BM,36.06,-118.39,1947,3,59.1629981994629
BM,36.06,-118.39,1947,4,25.3120002746582
BM,36.06,-118.39,1947,5,29.9640007019043
BM,36.06,-118.39,1947,6,0
BM,36.06,-118.39,1947,7,0
BM,36.06,-118.39,1947,8,4.9060001373291
BM,36.06,-118.39,1947,9,2.66799998283386
BM,36.06,-118.39,1947,10,32.1829986572266
BM,36.06,-118.39,1947,11,24.2830009460449
BM,36.06,-118.39,1947,12,35.6570014953613
BM,36.06,-118.39,1948,1,0.782999992370605
BM,36.06,-118.39,1948,2,79.3430023193359
BM,36.06,-118.39,1948,3,179.731994628906
BM,36.06,-118.39,1948,4,163.048004150391
BM,36.06,-118.39,1948,5,46.1759986877441
BM,36.06,-118.39,1948,6,3.54999995231628
BM,36.06,-118.39,1948,7,0
BM,36.06,-118.39,1948,8,0
BM,36.06,-118.39,1948,9,0
BM,36.06,-118.39,1948,10,4.64599990844727
BM,36.06,-118.39,1948,11,2.17899990081787
BM,36.06,-118.39,1948,12,112.984001159668
BM,36.06,-118.39,1950,1,189.208999633789
BM,36.06,-118.39,1950,2,125.674003601074
BM,36.06,-118.39,1950,3,93.1080017089844
BM,36.06,-118.39,1950,4,63.2999992370605
BM,36.06,-118.39,1950,5,18.2320003509521
BM,36.06,-118.39,1950,6,0
BM,36.06,-118.39,1950,7,0.957000017166138
BM,36.06,-118.39,1950,8,0
BM,36.06,-118.39,1950,9,8.63399982452393
BM,36.06,-118.39,1950,10,42.7150001525879
BM,36.06,-118.39,1950,11,272.723999023438
BM,36.06,-118.39,1950,12,173.940994262695
BM,36.06,-118.39,1951,1,114.861999511719
BM,36.06,-118.39,1951,2,77.6890029907227
BM,36.06,-118.39,1951,3,43.6319999694824
BM,36.06,-118.39,1951,4,86.3190002441406
BM,36.06,-118.39,1951,5,6.30999994277954
BM,36.06,-118.39,1951,6,0.0140000004321337
BM,36.06,-118.39,1951,7,7
BM,36.06,-118.39,1951,8,0
BM,36.06,-118.39,1951,9,0
BM,36.06,-118.39,1951,10,27.7810001373291
BM,36.06,-118.39,1951,11,72.3160018920898
BM,36.06,-118.39,1951,12,343.696990966797
BM,36.06,-118.39,1952,1,268.557006835938
BM,36.06,-118.39,1952,2,68.9309997558594
BM,36.06,-118.39,1952,3,241.845993041992
BM,36.06,-118.39,1952,4,74.6529998779297
BM,36.06,-118.39,1952,5,0
BM,36.06,-118.39,1952,6,0
BM,36.06,-118.39,1952,7,44.076000213623
BM,36.06,-118.39,1952,8,0
BM,36.06,-118.39,1952,9,4.47300004959106
BM,36.06,-118.39,1952,10,0
BM,36.06,-118.39,1952,11,85.8219985961914
BM,36.06,-118.39,1952,12,214.367004394531
BM,36.06,-118.39,1954,1,142.399993896484
BM,36.06,-118.39,1954,2,147.953002929688
BM,36.06,-118.39,1954,3,198.889007568359
BM,36.06,-118.39,1954,4,41.0709991455078
BM,36.06,-118.39,1954,5,8.63099956512451
BM,36.06,-118.39,1954,6,18.7530002593994
