year,summer_ppt,summer_tmin,summer_tmax,summer_tmean,summer_td_mean,summer_vpdmin,summer_vpdmax
1991,49.18699884414668,7.163500010967255,18.8935000896454,13.02775049209595,0.747749969363212,3.69849991798401,14.192500114440925
1992,76.13300037384033,7.245499849319465,18.888500213623026,13.06625056266785,0.7740000188350675,3.1260000467300397,14.765249729156501
1993,74.1490020751953,6.357500076293945,19.17549991607665,12.766000747680675,-2.4292500466108318,4.535499989986422,16.9190001487732
1994,4.9249999523162895,8.477999806404116,20.168749809265126,14.322500705719,-2.0327499920967966,5.2425000667571995,18.209500551223726
1995,69.05199861526486,7.17199993133545,19.213249921798724,13.191750288009635,-0.22650001011788873,5.446250081062315,16.3564999103546
1996,26.45099973678581,8.413750052452093,20.133250236511223,14.2730007171631,0.19249999523162753,4.79925000667572,17.402249813079827
1997,66.2349996566772,7.329500079154975,19.04399967193605,13.186000823974599,1.6140000186860541,3.0990000069141375,15.99724984169005
1998,66.20899915695193,7.069500029087075,19.068250179290775,13.068250656127937,2.091999937780202,4.1425000429153425,13.806499719619737
1999,59.72200012207036,8.134999990463257,20.075249671936024,14.104250669479375,-0.10799998044967851,5.15149998664856,17.229500293731675
2000,35.76599955558782,9.239250063896185,22.393000125885024,15.815750837326025,-1.1460000090301028,5.83175003528595,21.44074964523315
2001,8.35799980163574,9.759750008583067,23.119249820709225,16.43875074386595,-1.0279999896883958,6.360749959945677,21.8697500228882
2002,3.3930000104010145,9.292249917984007,22.817249774932876,16.0540006160736,-1.352500051259995,6.392499923706055,22.190749645233176
2003,22.119999796152115,9.973749995231646,23.217750072479248,16.595000982284525,0.5795000195503227,5.188999950885775,20.662999629974376
2004,4.238999903202056,9.176500082016013,22.052000045776374,15.613750696182251,-0.7702499330043777,5.534250020980835,23.831249713897698
2005,35.71900081634522,8.400249898433685,21.297749996185324,14.848250389099125,-0.44325004518031896,4.673499941825868,18.506249666214
2006,29.388000257313205,9.296749949455258,22.7039999961853,15.999500513076775,-0.9272500537335878,5.537999987602232,20.6007499694824
2007,49.99599909782406,9.090250134468093,22.779749870300275,15.93475103378295,-1.2177499905228626,5.850250005722042,22.7185001373291
2008,54.98799949884414,9.607000112533562,22.79699993133545,16.20125102996825,-1.6397499740123735,6.19225001335144,21.398749828338623
2009,14.851999582722753,8.781499862670898,21.7385001182556,15.259250402450576,-1.4005000293254857,6.102250039577485,20.61250019073485
2010,0.424000006169081,8.250499963760374,22.473749637603774,15.361250638961799,-1.2007500492036352,4.92624992132187,20.45475029945375
2011,62.74300003051751,8.026749968528748,21.515749931335474,14.770750761032101,0.3622499704360963,4.425000011920927,18.599749803543098
2012,3.929000079631805,9.53725004196168,22.16650009155275,15.851500511169425,-0.7177499923855069,6.259999871253967,19.37774991989135
