site,lat,long,year,month,tmax
BM,36.06,-118.39,1906,2,6.32000017166138
BM,36.06,-118.39,1906,3,5.56400012969971
BM,36.06,-118.39,1906,4,7.52199983596802
BM,36.06,-118.39,1906,5,9.63799953460693
BM,36.06,-118.39,1906,6,15.8649997711182
BM,36.06,-118.39,1906,7,24.7129993438721
BM,36.06,-118.39,1906,8,22.7229995727539
BM,36.06,-118.39,1906,9,18.6679992675781
BM,36.06,-118.39,1906,10,14.9350004196167
BM,36.06,-118.39,1906,11,7.80200004577637
BM,36.06,-118.39,1906,12,4.57299995422363
BM,36.06,-118.39,1907,1,1.15299999713898
BM,36.06,-118.39,1907,2,7.86800003051758
BM,36.06,-118.39,1907,3,3.43600010871887
BM,36.06,-118.39,1907,4,8.69699954986572
BM,36.06,-118.39,1907,5,11.7729997634888
BM,36.06,-118.39,1907,6,16.1280002593994
BM,36.06,-118.39,1907,7,21.011999130249
BM,36.06,-118.39,1907,8,20.2649993896484
BM,36.06,-118.39,1907,9,15.7379999160767
BM,36.06,-118.39,1907,10,10.3570003509521
BM,36.06,-118.39,1907,11,9.78899955749512
BM,36.06,-118.39,1907,12,5.32499980926514
BM,36.06,-118.39,1908,1,6.3769998550415
BM,36.06,-118.39,1908,2,3.31200003623962
BM,36.06,-118.39,1908,3,7.10400009155273
BM,36.06,-118.39,1908,4,11.2030000686646
BM,36.06,-118.39,1908,5,10.3070001602173
BM,36.06,-118.39,1908,6,17.3729991912842
BM,36.06,-118.39,1908,7,25.8840007781982
BM,36.06,-118.39,1908,8,24.4759998321533
BM,36.06,-118.39,1908,9,17.1720008850098
BM,36.06,-118.39,1908,10,10.6190004348755
BM,36.06,-118.39,1908,11,10.0979995727539
BM,36.06,-118.39,1908,12,4.58199977874756
BM,36.06,-118.39,1909,1,4.70499992370605
BM,36.06,-118.39,1909,2,2.03200006484985
BM,36.06,-118.39,1909,3,3.02300000190735
BM,36.06,-118.39,1909,4,10.2580003738403
BM,36.06,-118.39,1909,5,13.0909996032715
BM,36.06,-118.39,1909,6,18.826000213623
BM,36.06,-118.39,1909,7,20.8549995422363
BM,36.06,-118.39,1909,8,21.5149993896484
BM,36.06,-118.39,1909,9,12.8599996566772
BM,36.06,-118.39,1909,10,9.89500045776367
BM,36.06,-118.39,1909,11,5.29199981689453
BM,36.06,-118.39,1909,12,-0.365000009536743
BM,36.06,-118.39,1910,1,0.50900000333786
BM,36.06,-118.39,1910,2,3.83400011062622
BM,36.06,-118.39,1910,3,6.62900018692017
BM,36.06,-118.39,1910,4,12.5410003662109
BM,36.06,-118.39,1910,5,14.9809999465942
BM,36.06,-118.39,1910,6,17.1900005340576
BM,36.06,-118.39,1910,7,20.6730003356934
BM,36.06,-118.39,1910,8,21.6940002441406
BM,36.06,-118.39,1910,9,14.7930002212524
BM,36.06,-118.39,1910,10,9.33300018310547
BM,36.06,-118.39,1910,11,6.36100006103516
BM,36.06,-118.39,1910,12,5.17600011825562
BM,36.06,-118.39,1911,1,5.23000001907349
BM,36.06,-118.39,1911,2,0.920000016689301
BM,36.06,-118.39,1911,3,6.75
BM,36.06,-118.39,1911,4,7.84100008010864
BM,36.06,-118.39,1911,5,10.0670003890991
BM,36.06,-118.39,1911,6,18.1110000610352
BM,36.06,-118.39,1911,7,20.9570007324219
BM,36.06,-118.39,1911,8,18.6639995574951
BM,36.06,-118.39,1911,9,12.7910003662109
BM,36.06,-118.39,1911,10,10.0570001602173
BM,36.06,-118.39,1911,11,6.78499984741211
BM,36.06,-118.39,1911,12,1.2389999628067
BM,36.06,-118.39,1912,1,4.91599988937378
BM,36.06,-118.39,1912,2,6.27299976348877
BM,36.06,-118.39,1912,3,2.5789999961853
BM,36.06,-118.39,1912,4,4.17600011825562
BM,36.06,-118.39,1912,5,11.3369998931885
BM,36.06,-118.39,1912,6,17.2369995117188
BM,36.06,-118.39,1912,7,18.8540000915527
BM,36.06,-118.39,1912,8,18.375
BM,36.06,-118.39,1912,9,15.246000289917
BM,36.06,-118.39,1912,10,9.04199981689453
BM,36.06,-118.39,1912,11,7.65199995040894
BM,36.06,-118.39,1912,12,1.52699995040894
BM,36.06,-118.39,1913,1,3.16599988937378
BM,36.06,-118.39,1913,2,2.93899989128113
BM,36.06,-118.39,1913,3,3.38800001144409
BM,36.06,-118.39,1913,4,8.68299961090088
BM,36.06,-118.39,1913,5,12.9790000915527
BM,36.06,-118.39,1913,6,14.6120004653931
