site,lat,long,year,month,td_mean
BM,36.06,-118.39,1936,4,-7.7350001335144
BM,36.06,-118.39,1936,5,-4.10900020599365
BM,36.06,-118.39,1936,6,-0.462999999523163
BM,36.06,-118.39,1936,7,2.67000007629395
BM,36.06,-118.39,1936,8,1.70099997520447
BM,36.06,-118.39,1936,9,-1.97899997234344
BM,36.06,-118.39,1936,10,-4.86999988555908
BM,36.06,-118.39,1936,11,-10.7950000762939
BM,36.06,-118.39,1936,12,-11.6969995498657
BM,36.06,-118.39,1938,1,-11.7770004272461
BM,36.06,-118.39,1938,2,-9.00300025939941
BM,36.06,-118.39,1938,3,-9.01099967956543
BM,36.06,-118.39,1938,4,-8.26900005340576
BM,36.06,-118.39,1938,5,-4.67199993133545
BM,36.06,-118.39,1938,6,-0.917999982833862
BM,36.06,-118.39,1938,7,2.56100010871887
BM,36.06,-118.39,1938,8,1.35500001907349
BM,36.06,-118.39,1938,9,-1.23699998855591
BM,36.06,-118.39,1938,10,-5.15000009536743
BM,36.06,-118.39,1938,11,-11.2239999771118
BM,36.06,-118.39,1938,12,-9.8459997177124
BM,36.06,-118.39,1940,1,-9.57100009918213
BM,36.06,-118.39,1940,2,-7.21700000762939
BM,36.06,-118.39,1940,3,-8.29399967193604
BM,36.06,-118.39,1940,4,-6.98600006103516
BM,36.06,-118.39,1940,5,-4.10300016403198
BM,36.06,-118.39,1940,6,-0.721000015735626
BM,36.06,-118.39,1940,7,2.16400003433228
BM,36.06,-118.39,1940,8,1.46599996089935
BM,36.06,-118.39,1940,9,-1.07299995422363
BM,36.06,-118.39,1940,10,-4.84000015258789
BM,36.06,-118.39,1940,11,-9.19499969482422
BM,36.06,-118.39,1940,12,-9.41399955749512
BM,36.06,-118.39,1941,1,-9.3730001449585
BM,36.06,-118.39,1941,2,-6.7810001373291
BM,36.06,-118.39,1941,3,-7.78599977493286
BM,36.06,-118.39,1941,4,-7.42700004577637
BM,36.06,-118.39,1941,5,-3.28999996185303
BM,36.06,-118.39,1941,6,-0.916999995708466
BM,36.06,-118.39,1941,7,3.0220000743866
BM,36.06,-118.39,1941,8,1.9539999961853
BM,36.06,-118.39,1941,9,-3.12100005149841
BM,36.06,-118.39,1941,10,-6.09299993515015
BM,36.06,-118.39,1941,11,-7.53599977493286
BM,36.06,-118.39,1941,12,-8.83500003814697
BM,36.06,-118.39,1942,1,-11.253999710083
BM,36.06,-118.39,1942,2,-10.5069999694824
BM,36.06,-118.39,1942,3,-11.2399997711182
BM,36.06,-118.39,1942,4,-6.82499980926514
BM,36.06,-118.39,1942,5,-4.73600006103516
BM,36.06,-118.39,1942,6,-1.54999995231628
BM,36.06,-118.39,1942,7,3.01500010490417
BM,36.06,-118.39,1942,8,1.88399994373322
BM,36.06,-118.39,1942,9,-2.03299999237061
BM,36.06,-118.39,1942,10,-4.96700000762939
BM,36.06,-118.39,1942,11,-7.80000019073486
BM,36.06,-118.39,1942,12,-9.83100032806396
BM,36.06,-118.39,1943,1,-11.7469997406006
BM,36.06,-118.39,1943,2,-8.09000015258789
BM,36.06,-118.39,1943,3,-6.52899980545044
BM,36.06,-118.39,1943,4,-5.78999996185303
BM,36.06,-118.39,1943,5,-5.2039999961853
BM,36.06,-118.39,1943,6,-2.33400011062622
BM,36.06,-118.39,1943,7,3.00500011444092
BM,36.06,-118.39,1943,8,1.90299999713898
BM,36.06,-118.39,1943,9,-0.425999999046326
BM,36.06,-118.39,1943,10,-2.97499990463257
