site,lat,long,year,month,vpdmin
BM,36.06,-118.39,1942,3,1.03400003910065
BM,36.06,-118.39,1942,4,0.493999987840652
BM,36.06,-118.39,1942,5,0.449999988079071
BM,36.06,-118.39,1942,6,1.74300003051758
BM,36.06,-118.39,1942,7,4.74100017547607
BM,36.06,-118.39,1942,8,4.61700010299683
BM,36.06,-118.39,1942,9,2.46099996566772
BM,36.06,-118.39,1942,10,3.40400004386902
BM,36.06,-118.39,1942,11,1.56299996376038
BM,36.06,-118.39,1942,12,1.41700005531311
BM,36.06,-118.39,1943,1,1.25600004196167
BM,36.06,-118.39,1943,2,0.71399998664856
BM,36.06,-118.39,1943,3,0.75900000333786
BM,36.06,-118.39,1943,4,1.29799997806549
BM,36.06,-118.39,1943,5,1.6710000038147
BM,36.06,-118.39,1943,6,0.958000004291534
BM,36.06,-118.39,1943,7,2.88599991798401
BM,36.06,-118.39,1943,8,1.79999995231628
BM,36.06,-118.39,1943,9,3.46799993515015
BM,36.06,-118.39,1943,10,1.60199999809265
BM,36.06,-118.39,1943,11,1.65100002288818
BM,36.06,-118.39,1943,12,0.850000023841858
BM,36.06,-118.39,1945,1,0.964999973773956
BM,36.06,-118.39,1945,2,0.546999990940094
BM,36.06,-118.39,1945,3,0.460999995470047
BM,36.06,-118.39,1945,4,1.08200001716614
BM,36.06,-118.39,1945,5,0.342999994754791
BM,36.06,-118.39,1945,6,2.14599990844727
BM,36.06,-118.39,1945,7,3.1710000038147
BM,36.06,-118.39,1945,8,4.3270001411438
BM,36.06,-118.39,1945,9,3.94400000572205
BM,36.06,-118.39,1945,10,1.89199995994568
BM,36.06,-118.39,1945,11,0.958000004291534
BM,36.06,-118.39,1945,12,1.08899998664856
BM,36.06,-118.39,1946,1,1.20099997520447
BM,36.06,-118.39,1946,2,0.644999980926514
BM,36.06,-118.39,1946,3,0.837999999523163
BM,36.06,-118.39,1946,4,1.27699995040894
BM,36.06,-118.39,1946,5,1.10899996757507
BM,36.06,-118.39,1946,6,1.71399998664856
BM,36.06,-118.39,1946,7,2.15400004386902
BM,36.06,-118.39,1946,8,5.47900009155273
BM,36.06,-118.39,1946,9,2.625
BM,36.06,-118.39,1946,10,1.32400000095367
BM,36.06,-118.39,1946,11,1.14199995994568
BM,36.06,-118.39,1946,12,1.49699997901917
BM,36.06,-118.39,1947,1,1.15699994564056
BM,36.06,-118.39,1947,2,0.944999992847443
BM,36.06,-118.39,1947,3,1.09500002861023
BM,36.06,-118.39,1947,4,1.17700004577637
BM,36.06,-118.39,1947,5,1.78100001811981
BM,36.06,-118.39,1947,6,0.806999981403351
BM,36.06,-118.39,1947,7,1.38699996471405
BM,36.06,-118.39,1947,8,1.46700000762939
BM,36.06,-118.39,1947,9,3.70600008964539
BM,36.06,-118.39,1947,10,1.52300000190735
BM,36.06,-118.39,1947,11,1.26699995994568
BM,36.06,-118.39,1947,12,1.03900003433228
BM,36.06,-118.39,1948,1,1.76999998092651
BM,36.06,-118.39,1948,2,0.0529999993741512
BM,36.06,-118.39,1948,3,0.404000014066696
BM,36.06,-118.39,1948,4,0.41100001335144
BM,36.06,-118.39,1948,5,0.805999994277954
BM,36.06,-118.39,1948,6,0.813000023365021
BM,36.06,-118.39,1948,7,3.5699999332428
BM,36.06,-118.39,1948,8,4.61800003051758
BM,36.06,-118.39,1948,9,3.71499991416931
BM,36.06,-118.39,1948,10,1.35599994659424
BM,36.06,-118.39,1948,11,1.63999998569489
BM,36.06,-118.39,1948,12,0.723999977111816
BM,36.06,-118.39,1950,1,0.712000012397766
BM,36.06,-118.39,1950,2,0.540000021457672
BM,36.06,-118.39,1950,3,1.04100000858307
BM,36.06,-118.39,1950,4,1.04299998283386
BM,36.06,-118.39,1950,5,1.12800002098083
BM,36.06,-118.39,1950,6,2.46499991416931
BM,36.06,-118.39,1950,7,1.40100002288818
BM,36.06,-118.39,1950,8,4.49900007247925
BM,36.06,-118.39,1950,9,2.64400005340576
BM,36.06,-118.39,1950,10,2.00399994850159
BM,36.06,-118.39,1950,11,1.87300002574921
BM,36.06,-118.39,1950,12,1.95200002193451
BM,36.06,-118.39,1951,1,0.584999978542328
BM,36.06,-118.39,1951,2,0.199000000953674
BM,36.06,-118.39,1951,3,1.11600005626678
BM,36.06,-118.39,1951,4,0.00400000018998981
BM,36.06,-118.39,1951,5,0.455000013113022
BM,36.06,-118.39,1951,6,1.45500004291534
BM,36.06,-118.39,1951,7,2.77800011634827
BM,36.06,-118.39,1951,8,3.11199998855591
BM,36.06,-118.39,1951,9,4.77299976348877
BM,36.06,-118.39,1951,10,1.99500000476837
BM,36.06,-118.39,1951,11,1.26999998092651
BM,36.06,-118.39,1951,12,0.505999982357025
BM,36.06,-118.39,1952,1,0.638999998569489
BM,36.06,-118.39,1952,2,0.296000003814697
BM,36.06,-118.39,1952,3,0.0219999998807907
BM,36.06,-118.39,1952,4,0.0020000000949949
